Name,Age,Team,Year,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,RAR,WAR,IL
Corey Seager,27,LAD,21,95,409,353,54,108,22,3,16,57,1,1,48,66,.306,.394,.521,.915,184,38,3.7,76
Kris Bryant,29,TOT,21,144,586,513,86,136,32,2,25,73,10,2,62,135,.265,.353,.481,.835,247,34,3.3,0
Marcus Semien,30,TOR,21,162,724,652,115,173,39,2,45,102,15,1,66,146,.265,.334,.538,.873,351,72,7.3,0
Freddie Freeman,31,ATL,21,159,695,600,120,180,25,2,31,83,8,3,85,107,.300,.393,.503,.896,302,48,4.7,0
Trevor Story,28,COL,21,142,595,526,88,132,34,5,24,75,20,6,53,139,.251,.329,.471,.801,248,43,4.2,14
Javier Baez,28,TOT,21,138,547,502,80,133,18,2,31,87,18,5,28,184,.265,.319,.494,.813,248,47,4.5,11
Carlos Correa,26,HOU,21,148,640,555,104,155,34,1,26,92,0,0,75,116,.279,.366,.485,.850,269,71,7.2,7
Nick Castellanos,29,CIN,21,138,585,531,95,164,38,1,34,100,3,1,41,121,.309,.362,.576,.939,306,34,3.2,14
Kyle Schwarber,28,TOT,21,113,471,399,76,106,19,0,32,71,1,1,64,127,.266,.374,.554,.928,221,32,3.2,50
Starling Marte,32,TOT,21,120,526,467,89,145,27,3,12,55,47,5,43,99,.310,.383,.458,.841,214,48,4.7,39
Avisail Garcia,30,MIL,21,135,515,461,68,121,18,0,29,86,8,4,38,121,.262,.330,.490,.820,226,30,2.9,0
Jorge Soler,29,TOT,21,149,602,516,74,115,27,0,27,70,0,0,67,142,.223,.316,.432,.749,223,-2,-0.3,0
Mark Canha,32,OAK,21,141,625,519,93,120,22,4,17,61,12,2,77,128,.231,.358,.387,.746,201,25,2.5,23
Eduardo Escobar,32,TOT,21,146,599,549,77,139,26,5,28,90,1,0,48,124,.253,.314,.472,.786,259,26,2.4,12
Nelson Cruz,40,TOT,21,140,584,513,79,136,21,1,32,86,3,0,51,126,.265,.334,.497,.832,255,25,2.5,2
Yan Gomes,33,TOT,21,103,375,349,49,88,15,1,14,52,0,0,19,78,.252,.301,.421,.723,147,25,2.5,24
Brad Miller,31,PHI,21,140,377,331,53,75,9,3,20,49,3,0,45,112,.227,.321,.453,.774,150,5,0.4,0
Andrew McCutchen,34,PHI,21,144,574,482,78,107,24,1,27,80,6,1,81,132,.222,.334,.444,.778,214,15,1.4,11
Manny Pina,34,MIL,21,75,208,180,27,34,6,0,13,33,0,0,22,38,.189,.293,.439,.732,79,13,1.3,25
Tommy Pham,33,SDP,21,155,561,475,74,109,24,2,15,49,14,6,78,128,.229,.340,.383,.724,182,16,1.4,0
Joc Pederson,29,TOT,21,137,481,429,55,102,19,3,18,61,2,3,39,117,.238,.310,.422,.732,181,2,0,12
Josh Harrison,33,TOT,21,138,558,505,58,141,33,2,8,60,9,5,31,75,.279,.341,.400,.741,202,21,2.1,8
Kole Calhoun,33,ARI,21,51,182,166,17,39,8,0,5,17,1,0,15,41,.235,.297,.373,.670,62,0,-0.1,120
Corey Dickerson,32,TOT,21,109,365,336,43,91,18,5,6,29,6,5,25,68,.271,.326,.408,.734,137,4,0.3,50
José Iglesias,31,TOT,21,137,511,483,65,131,27,2,9,48,5,2,21,75,.271,.309,.391,.701,189,-7,-0.7,11
Roberto Perez,32,CLE,21,44,161,141,13,21,3,0,7,17,1,0,17,56,.149,.245,.319,.564,45,-1,-0.1,102
Donovan Solano,33,SFG,21,101,344,307,35,86,17,0,7,31,2,0,25,58,.280,.344,.404,.748,124,12,1.1,51
Andrelton Simmons,31,MIN,21,131,451,412,37,92,12,0,3,31,1,0,32,62,.223,.283,.274,.558,113,14,1.5,13
Cesar Hernandez,31,TOT,21,149,637,570,84,132,21,2,21,62,1,1,59,135,.232,.308,.386,.694,220,4,0.5,0
Albert Pujols,41,TOT,21,109,296,275,29,65,3,0,17,50,2,0,14,45,.236,.284,.433,.717,119,-5,-0.6,2
Niko Goodrum,29,DET,21,90,325,290,39,62,11,2,9,33,14,5,29,107,.214,.292,.359,.651,104,0,0,67
Matt Carpenter,35,STL,21,130,249,207,18,35,11,1,3,21,2,0,35,77,.169,.305,.275,.581,57,-9,-1.1,0
Pedro Severino,27,BAL,21,113,419,379,32,94,18,0,11,46,0,0,34,109,.248,.308,.383,.690,145,9,1,0
Hanser Alberto,28,KCR,21,103,255,241,25,65,20,3,2,24,3,1,4,26,.270,.291,.402,.693,97,4,0.4,0
Matt Duffy,30,CHC,21,97,322,289,45,83,12,0,5,30,8,1,25,63,.287,.357,.381,.738,110,17,1.6,66
Ehire Adrianza,31,ATL,21,109,209,182,32,45,9,2,5,28,0,0,21,42,.247,.327,.401,.728,73,4,0.3,7
Jackson Frazier,26,NYY,21,66,218,183,20,34,9,0,5,15,2,0,32,65,.186,.317,.317,.633,58,-14,-1.4,95
Johan Camargo,27,ATL,21,15,18,16,1,0,0,0,0,0,0,0,2,6,.000,.111,.000,.111,0,-3,-0.4,0
Jake Marisnick,30,TOT,21,99,198,176,21,38,7,3,5,24,4,1,11,65,.216,.286,.375,.661,66,3,0.2,29
Colin Moran*,28,PIT,21,99,359,318,29,82,12,0,10,50,1,0,36,87,.258,.334,.390,.724,124,1,0,69
Alex Dickerson*,31,SFG,21,111,312,283,37,66,10,2,13,38,1,0,23,76,.233,.304,.420,.725,119,0,-0.1,44
Daniel Vogelbach*,28,MIL,21,93,258,215,30,47,8,0,9,24,0,0,43,57,.219,.349,.381,.730,82,-1,-0.2,71
Tim Locastro,28,TOT,21,64,156,139,15,25,4,0,2,7,5,3,7,33,.180,.263,.252,.515,35,-8,-0.9,95
Robinson Chirinos,37,CHC,21,45,112,97,13,22,5,1,5,15,0,0,9,36,.227,.324,.454,.778,44,2,0.2,11
Luke Maile,30,MIL,21,15,34,30,6,9,4,0,0,3,0,0,3,7,.300,.382,.433,.816,13,3,0.3,0
Stephen Vogt*,36,TOT,21,78,238,210,24,41,6,1,7,25,0,0,26,56,.195,.283,.333,.616,70,0,-0.1,24
Andrew Knapp,29,PHI,21,62,159,145,13,22,3,0,2,11,0,0,10,61,.152,.215,.214,.429,31,-14,-1.5,25
